DistanceType	StimClass	Comparison	fROI_Criterion	fROI	ID	Distance
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss006	0.192717517194149
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss006	0.507637335101432
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss006	0.419281217505639
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss006	0.409110805702351
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss006	0.267604470701422
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss007	0.115929525729483
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss007	0.152207253859331
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss007	0.167562712352393
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss007	0.172269710682207
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss007	0.190013606307482
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss007	0.155815252165587
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss007	0.165665896154654
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss007	0.152812897745659
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss007	0.131944544147522
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss007	0.208363602302162
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss007	0.161717625154523
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss007	0.19295521728967
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss007	0.32700859134256
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss007	0.141183177587202
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss007	0.230285915787552
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss007	0.24334819892925
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss008	0.366913773597827
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss008	0.323582565337353
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss008	0.338252846982357
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss008	0.370142882442935
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss008	0.189237101655421
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss008	0.396713676529821
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss008	0.225417053094539
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss008	0.230042555018328
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss008	0.182591873338501
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss008	0.369971501399902
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss008	0.201564611487865
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss008	0.202339616266957
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss008	0.176955878073027
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss008	0.214651316474269
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss008	0.104869072575996
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss008	0.194404661640924
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss009	0.132670118330387
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss009	0.202933692134892
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss009	0.229626799586809
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss009	0.131538859696721
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss009	0.214222043756555
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss009	0.180849687239519
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss009	0.135269830574936
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss009	0.127736334387105
